# d  sigma
8.370724484579758484e-02 4.200655754876063686e-01
8.758428241572679962e-01 4.602666665516515487e-01
1.778866934071144490e+00 3.886983334857941896e-01
2.256469851110558977e+00 5.206974618872174387e-01
2.188051577390423219e+00 5.936161290220627329e-01
2.963851367402889014e+00 5.939625290219562315e-01
3.405257050639602490e+00 5.506095632014996744e-01
4.167532398147413275e+00 5.288143565941832991e-01
3.618491052310292666e+00 2.977824211757524875e-01
3.440202765788144212e+00 4.885830145106273559e-01
3.775576906223138351e+00 4.506686925637449215e-01
4.192482952415118369e+00 5.993779142094575185e-01
4.172150256359503651e+00 4.225648350066524284e-01
3.869426249491495717e+00 5.197505570006403230e-01
4.547178868287944375e+00 6.083315204723388492e-01
4.667179238033065225e+00 6.035924894809501229e-01
4.793929654824133912e+00 3.103293533787147007e-01
5.683080750457414787e+00 5.966348586070200355e-01
5.536101217165082744e+00 6.778828672563665947e-01
5.586637098237443588e+00 5.105748107399923352e-01
